index	0-9	10-19	120-129	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90-99
Abu Dhabi, Abu Dhabi, United Arab Emirates	False	False	False	False	True	False	False	False	False	False	False
Ada County, Idaho, United States	False	False	False	False	False	False	True	False	False	False	False
Adams County, Colorado, United States	False	False	False	False	False	False	True	False	False	False	False
Alachua County, Florida, United States	True	False	False	True	True	True	True	True	True	False	True
Alameda County, California, United States	False	False	False	False	True	False	False	False	False	False	False
Alb-Donau District, Baden-Wurttemberg, Germany	False	True	False	False	False	False	True	False	False	False	False
Albacete, Castilla-La Mancha, Spain	False	False	False	True	True	False	False	False	False	False	False
Algoma, Ontario, Canada	False	False	False	False	False	False	True	False	False	False	False
Androscoggin County, Maine, United States	False	False	False	False	False	False	True	False	False	False	False
Ankang City, Shaanxi, China	True	False	False	True	True	True	True	False	False	True	False
Anqing City, Anhui, China	False	False	False	False	False	True	True	False	False	False	False
Arapahoe County, Colorado, United States	False	False	False	False	True	False	True	False	False	True	False
Arida District, Wakayama Prefecture, Japan	False	True	False	False	True	False	True	True	False	False	False
Arlington County, Virginia, United States	False	False	False	False	False	False	False	True	False	False	False
Asahikawa, Hokkaido, Japan	False	False	False	False	False	False	False	True	False	False	False
Baicheng City, Jilin, China	False	False	False	False	False	False	False	True	False	False	False
Baise City, Guangxi, China	False	False	False	False	True	False	False	False	False	False	False
Baiyin City, Gansu, China	False	False	False	False	True	False	False	True	False	False	False
Baker County, Florida, United States	False	False	False	False	False	False	True	True	True	True	True
Baltimore County, Maryland, United States	False	False	False	True	False	False	False	True	False	False	False
Baoji City, Shaanxi, China	False	False	False	False	False	True	True	True	True	False	False
Baoshan City, Yunnan, China	False	False	False	False	False	False	False	True	False	False	False
Baotou City, Inner Mongolia, China	False	False	False	False	True	False	True	False	False	False	False
Barcelona, Catalonia, Spain	False	False	False	False	True	True	False	False	False	False	False
Bas-Rhin, Grand Est, France	False	False	False	False	True	False	False	False	False	False	False
Bay County, Florida, United States	False	False	False	False	False	True	True	True	True	False	False
Beadle County, South Dakota, United States	False	False	False	False	False	True	False	False	False	False	False
Beekdaelen, Limburg, Netherlands	False	False	False	False	False	False	False	False	True	False	False
Beihai City, Guangxi, China	False	False	False	True	False	False	True	True	True	False	False
Beijing, Beijing, China	False	True	False	True	True	True	True	True	True	False	False
Belknap County, New Hampshire, United States	False	False	False	True	False	False	False	False	False	False	False
Bell County, Texas, United States	False	False	False	False	False	False	False	False	True	False	False
Bengbu City, Anhui, China	False	False	False	False	False	True	False	False	False	False	False
Bennington County, Vermont, United States	False	False	False	False	False	False	False	True	False	False	False
Bergen County, New Jersey, United States	False	False	False	False	True	False	True	False	True	False	False
Berkshire County, Massachusetts, United States	False	False	False	False	False	False	False	True	False	False	False
Bernalillo County, New Mexico, United States	True	True	False	True	True	True	True	True	True	True	False
Biberach District, Baden-Wurttemberg, Germany	False	False	False	False	False	True	False	False	False	False	False
Bijie City, Guizhou, China	False	False	False	True	True	True	True	False	False	False	False
Binh Xuyen District, Vinh Phuc, Vietnam	False	True	False	True	False	True	True	False	False	False	False
Blaine County, Idaho, United States	False	False	False	False	False	False	False	False	False	True	False
Bon Homme County, South Dakota, United States	False	False	False	False	False	False	False	True	False	False	False
Bourbon County, Kentucky, United States	False	False	False	False	False	False	False	True	False	False	False
Bozhou City, Anhui, China	False	False	False	True	True	False	True	True	False	False	False
Bradford County, Florida, United States	False	False	False	False	False	False	False	True	False	False	False
Brant, Ontario, Canada	False	False	False	False	False	True	False	False	False	False	False
Brevard County, Florida, United States	True	False	False	True	True	True	True	True	True	False	False
Broadwater County, Montana, United States	False	False	False	False	False	False	True	False	False	False	False
Broward County, Florida, United States	True	True	False	True	True	True	True	True	True	True	True
Buk, Ulsan, South Korea	False	True	False	True	False	False	True	False	False	False	False
Burleigh County, North Dakota, United States	False	False	False	True	False	False	True	False	False	False	False
Butler County, Kansas, United States	False	False	False	False	False	False	False	False	True	False	False
Calw District, Baden-Wurttemberg, Germany	False	False	False	True	False	False	False	False	False	False	False
Camden County, New Jersey, United States	False	False	False	False	False	False	False	True	False	False	False
Carroll County, New Hampshire, United States	False	False	False	True	False	False	False	False	False	False	False
Carson City County, Nevada, United States	False	False	False	False	False	False	False	False	True	False	False
Carver County, Minnesota, United States	False	False	False	False	False	False	True	False	False	False	False
Cass County, Nebraska, United States	False	False	False	False	False	False	True	False	False	False	False
Cass County, North Dakota, United States	False	False	False	True	False	False	False	False	False	False	False
Changchun City, Jilin, China	False	False	False	True	True	True	True	True	True	True	False
Changsha City, Hunan, China	False	False	False	False	False	False	True	False	False	False	False
Changzhou City, Jiangsu, China	False	False	False	False	True	False	False	False	False	False	False
Chaoyang City, Liaoning, China	False	False	False	False	False	True	False	False	False	False	False
Charles Mix County, South Dakota, United States	False	False	False	False	False	False	True	False	False	False	False
Charlotte County, Florida, United States	False	False	False	False	False	True	True	True	True	False	False
Chatham-Kent, Ontario, Canada	False	False	False	False	False	False	True	False	False	True	False
Chelan County, Washington, United States	False	False	False	True	False	False	True	False	False	False	False
Chengdu City, Sichuan, China	False	False	False	True	True	True	True	False	False	False	False
Cheongju, North Chungcheong, South Korea	True	False	False	True	False	False	True	False	False	False	False
Cheongwon, North Chungcheong, South Korea	False	False	False	True	True	True	False	False	False	False	False
Chittenden County, Vermont, United States	False	False	False	False	True	False	False	False	True	True	False
Chizhou City, Anhui, China	False	False	False	False	True	False	False	False	False	False	False
Chongqing County, Chongqing, China	False	False	False	False	False	True	False	False	False	False	False
Chuncheon, Gangwon, South Korea	False	False	False	False	True	False	False	False	False	False	False
Chungju, North Chungcheong, South Korea	False	False	False	False	True	True	True	False	False	False	False
Chuxiong Prefecture, Yunnan, China	False	True	False	False	False	False	False	False	False	False	False
Cibola County, New Mexico, United States	False	False	False	False	False	False	True	False	False	False	False
Citrus County, Florida, United States	False	True	False	False	True	False	True	True	True	True	False
Clark County, Kentucky, United States	False	False	False	False	False	True	False	False	False	False	False
Clark County, Nevada, United States	False	False	False	True	True	True	True	True	True	False	False
Clark County, Washington, United States	False	False	False	False	False	True	False	False	True	False	False
Clay County, Florida, United States	False	False	False	True	True	True	True	True	True	True	True
Collier County, Florida, United States	False	True	False	True	True	True	True	True	True	True	True
Collin County, Texas, United States	False	False	False	False	True	True	True	False	False	False	False
Columbia County, Florida, United States	False	False	False	False	False	True	False	False	True	False	False
Comox-Strathcona, British Columbia, Canada	False	False	False	False	False	False	False	True	False	False	False
Cook County, Illinois, United States	False	False	False	False	False	True	True	True	True	True	False
Copiah County, Mississippi, United States	False	False	False	False	False	False	False	True	False	False	False
Cumberland County, Illinois, United States	False	False	False	False	False	False	False	False	True	False	False
Cumberland County, Maine, United States	False	False	False	True	False	True	True	True	True	True	False
Curry County, New Mexico, United States	False	False	False	False	False	False	True	False	False	False	False
Cuyahoga County, Ohio, United States	False	False	False	False	False	False	True	False	False	False	False
Dakota County, Minnesota, United States	False	True	False	False	False	False	False	False	False	False	False
Dali Prefecture, Yunnan, China	False	True	False	False	True	True	False	False	True	False	False
Dalian City, Liaoning, China	False	False	False	False	True	False	False	False	False	False	False
Dallas County, Texas, United States	False	False	False	False	True	True	True	True	False	False	False
Danyang, North Chungcheong, South Korea	False	False	False	False	False	True	False	False	False	False	False
Danzhou City, Hainan, China	False	False	False	False	False	False	True	True	False	False	False
Datong City, Shanxi, China	False	False	False	True	False	False	False	False	False	False	False
Davis County, Utah, United States	False	False	False	False	False	False	False	True	False	False	False
Davison County, South Dakota, United States	False	False	False	False	True	False	False	False	False	False	False
Dazhou City, Sichuan, China	False	False	False	False	True	False	False	False	False	False	False
Denton County, Texas, United States	False	False	False	False	True	False	False	False	False	False	False
Denver County, Colorado, United States	False	True	False	False	True	True	True	False	True	False	False
Desoto County, Florida, United States	False	False	False	True	True	False	True	True	False	False	True
Dingxi City, Gansu, China	False	False	False	True	True	True	True	False	True	False	False
District of Columbia County, District of Columbia, United States	True	True	False	True	True	True	True	True	True	True	False
Dona Ana County, New Mexico, United States	False	False	False	True	True	False	True	True	False	False	False
Dong, Ulsan, South Korea	False	False	False	False	True	False	False	True	True	False	False
Douglas County, Colorado, United States	False	False	False	False	False	True	False	False	True	False	False
Douglas County, Kansas, United States	False	False	False	True	False	False	False	False	False	False	False
Douglas County, Nebraska, United States	False	False	False	False	True	True	True	True	False	False	False
Dupage County, Illinois, United States	False	False	False	False	False	False	False	True	False	False	False
Durham, Ontario, Canada	False	False	False	False	False	False	True	True	True	True	False
Duval County, Florida, United States	False	True	False	True	True	True	True	True	True	True	True
Eagle County, Colorado, United States	False	False	False	True	True	True	True	True	True	True	False
Eaton County, Michigan, United States	False	False	False	False	False	False	False	False	False	True	False
Eddy County, New Mexico, United States	False	False	False	False	False	False	False	False	True	False	False
El Paso County, Colorado, United States	False	False	False	False	False	True	False	False	False	False	False
El Paso County, Texas, United States	False	True	False	False	False	False	False	False	False	False	False
Escambia County, Florida, United States	False	False	False	True	True	True	True	True	True	False	True
Esslingen District, Baden-Wurttemberg, Germany	False	True	False	True	False	False	True	True	False	False	False
Eumseong, North Chungcheong, South Korea	False	False	False	False	False	False	True	False	False	False	False
Fairfield County, Connecticut, United States	False	False	False	True	False	False	False	True	False	False	False
Fangchenggang City, Guangxi, China	False	True	False	True	True	True	True	True	False	False	False
Fayette County, Kentucky, United States	False	False	False	False	True	True	False	False	True	False	False
Flagler County, Florida, United States	False	True	False	False	True	True	True	True	True	False	False
Floyd County, Georgia, United States	False	False	False	False	False	True	False	False	False	False	False
Ford County, Kansas, United States	False	False	False	False	False	False	False	True	False	False	False
Forrest County, Mississippi, United States	False	False	False	False	False	False	False	True	False	False	False
Fort Bend County, Texas, United States	False	False	False	False	False	False	False	False	True	False	False
Foshan City, Guangdong, China	False	False	False	False	False	True	False	False	False	False	False
Franklin County, Washington, United States	False	False	False	True	False	False	False	False	False	False	False
Frederick County, Maryland, United States	False	False	False	False	True	False	False	False	False	False	False
Freiburg, Baden-Wurttemberg, Germany	False	True	False	False	False	True	True	True	False	False	False
Fulton County, Georgia, United States	False	False	False	False	False	False	True	False	False	False	False
Fuyang City, Anhui, China	False	False	False	True	True	True	True	False	False	False	False
Fuzhou City, Fujian, China	False	False	False	False	True	False	False	False	True	False	False
Fuzhou City, Jiangxi, China	True	False	False	True	True	True	True	False	False	False	False
Gadsden County, Florida, United States	False	False	False	False	False	False	True	False	False	False	False
Gallatin County, Montana, United States	False	False	False	True	False	True	False	False	False	False	False
Gangneung, Gangwon, South Korea	False	False	False	False	False	True	False	False	False	False	False
Gannan Prefecture, Gansu, China	False	False	False	False	False	True	True	True	False	False	False
Ganzhou City, Jiangxi, China	False	False	False	True	False	True	False	False	False	False	False
Ganzi Tibetan Autonomous Prefecture, Sichuan, China	False	False	False	False	False	False	True	False	False	False	False
Giessen, Hesse, Germany	False	False	False	True	False	False	False	False	False	False	False
Goesan, North Chungcheong, South Korea	False	False	False	False	False	False	True	True	True	True	True
Goppingen, Baden-Wurttemberg, Germany	False	False	False	True	False	False	False	False	False	False	False
Grafschaft Bentheim, Lower Saxony, Germany	False	False	False	False	True	False	False	False	False	False	False
Grant County, Washington, United States	False	False	False	False	False	False	False	False	False	True	False
Greater Sudbury, Ontario, Canada	False	False	False	False	False	False	True	False	False	False	False
Greene County, Missouri, United States	False	False	False	True	False	False	False	False	False	False	False
Guang'an City, Sichuan, China	False	False	False	False	False	False	True	False	False	False	False
Guilin City, Guangxi, China	False	False	False	False	True	True	False	False	False	False	False
Guiyang City, Guizhou, China	True	False	False	False	True	False	True	True	False	False	False
Gunnison County, Colorado, United States	False	False	False	False	False	True	True	False	False	False	False
Haibei Prefecture, Qinghai, China	False	False	False	True	False	False	False	False	False	False	False
Haikou City, Hainan, China	False	False	False	False	True	True	True	True	False	False	False
Halifax, Nova Scotia, Canada	False	False	False	False	True	False	True	False	False	False	False
Halton, Ontario, Canada	False	False	False	False	True	True	True	False	False	False	False
Hamilton, Ontario, Canada	False	False	False	False	True	False	True	True	True	False	False
Hannover Region, Lower Saxony, Germany	False	False	False	False	False	False	False	True	False	False	False
Hanzhong City, Shaanxi, China	False	False	False	False	True	True	False	True	True	False	False
Harbin City, Heilongjiang, China	False	False	False	False	False	True	False	False	False	False	False
Harford County, Maryland, United States	False	False	False	False	False	False	False	True	False	True	False
Harrison County, Kentucky, United States	False	False	False	True	False	False	True	True	False	False	False
Haute-Savoie, Auvergne-Rhone-Alpes, France	False	False	False	False	False	False	True	False	False	False	False
Hechi City, Guangxi, China	True	False	False	False	True	True	False	False	False	False	False
Hefei City, Anhui, China	False	True	False	True	True	True	True	True	True	False	False
Heidenheim District, Baden-Wurttemberg, Germany	False	False	False	False	False	False	False	False	False	True	False
